Episode 100, Evaluation Reward 660.5148150809326
Episode 200, Evaluation Reward 987.1624110162116
Episode 300, Evaluation Reward 1240.342324257837
Episode 400, Evaluation Reward 1391.8838696488563
Episode 500, Evaluation Reward 1407.5571820609114
Episode 600, Evaluation Reward 1659.4043342935825
Episode 700, Evaluation Reward 1790.4157411275096
Episode 800, Evaluation Reward 1913.0429146827616
Episode 900, Evaluation Reward 1899.1063870516632
Episode 1000, Evaluation Reward 1990.778273647105
Episode 1100, Evaluation Reward 2139.156348170771
Episode 1200, Evaluation Reward 2146.890266759189
Episode 1300, Evaluation Reward 2270.1389146235983
Episode 1400, Evaluation Reward 2139.95085214869
Episode 1500, Evaluation Reward 2199.3101006806423
Episode 1600, Evaluation Reward 2184.149114784335
Episode 1700, Evaluation Reward 2328.6573957027676
Episode 1800, Evaluation Reward 2364.024312727507
Episode 1900, Evaluation Reward 2360.4362524294474
Episode 2000, Evaluation Reward 2438.8794449463994
Episode 2100, Evaluation Reward 2410.8990876423377
Episode 2200, Evaluation Reward 2481.7701944295445
Episode 2300, Evaluation Reward 2547.337229096534
Episode 2400, Evaluation Reward 2403.7002073858625
Episode 2500, Evaluation Reward 2602.5797863281614
Episode 2600, Evaluation Reward 2591.9062402686
Episode 2700, Evaluation Reward 2669.4100926410156
Episode 2800, Evaluation Reward 2715.8205369899506
Episode 2900, Evaluation Reward 2674.654567876231
Episode 3000, Evaluation Reward 2518.271389532342
Episode 3100, Evaluation Reward 2666.639332672297
Episode 3200, Evaluation Reward 2749.754907696689
Episode 3300, Evaluation Reward 2754.1371100376546
Episode 3400, Evaluation Reward 2716.609012689464
Episode 3500, Evaluation Reward 2775.611340312787
Episode 3600, Evaluation Reward 2824.614955978942
Episode 3700, Evaluation Reward 2840.2863069761434
Episode 3800, Evaluation Reward 2684.2059660067885
Episode 3900, Evaluation Reward 2804.9781123382145
Episode 4000, Evaluation Reward 2690.8783864422376
Episode 4100, Evaluation Reward 2827.954574829039
Episode 4200, Evaluation Reward 3096.9203100129935
Episode 4300, Evaluation Reward 3015.8942113617413
Episode 4400, Evaluation Reward 2929.717351833255
Episode 4500, Evaluation Reward 3067.946182835535
Episode 4600, Evaluation Reward 2859.4524792088573
Episode 4700, Evaluation Reward 3094.3871583605896
Episode 4800, Evaluation Reward 3079.0140959615865
Episode 4900, Evaluation Reward 3144.497024990273
Episode 5000, Evaluation Reward 3028.1442521314575
Episode 5100, Evaluation Reward 3051.176073331851
Episode 5200, Evaluation Reward 3092.518887840702
Episode 5300, Evaluation Reward 3147.822984906703
Episode 5400, Evaluation Reward 3130.9208249832745
Episode 5500, Evaluation Reward 3018.746570901238
Episode 5600, Evaluation Reward 3158.706889677573
Episode 5700, Evaluation Reward 3053.7546730661334
Episode 5800, Evaluation Reward 3098.5446997270656
Episode 5900, Evaluation Reward 3183.6268757028506
Episode 6000, Evaluation Reward 3155.661713243989
Episode 6100, Evaluation Reward 3087.698709406441
Episode 6200, Evaluation Reward 3212.6949486078206
Episode 6300, Evaluation Reward 3236.0069210526226
Episode 6400, Evaluation Reward 3306.0978624966
Episode 6500, Evaluation Reward 3349.2556534707173
Episode 6600, Evaluation Reward 3340.2093666130304
Episode 6700, Evaluation Reward 3334.7522350172126
Episode 6800, Evaluation Reward 3338.6327994593184
Episode 6900, Evaluation Reward 3367.8230207102692
Episode 7000, Evaluation Reward 3249.9918051635836
Episode 7100, Evaluation Reward 3365.271615092369
Episode 7200, Evaluation Reward 3378.9523775572825
Episode 7300, Evaluation Reward 3366.290752716815
Episode 7400, Evaluation Reward 3379.738206604846
Episode 7500, Evaluation Reward 3412.88379559065
Episode 7600, Evaluation Reward 3333.7194177343713
Episode 7700, Evaluation Reward 3331.3271861206545
Episode 7800, Evaluation Reward 3411.6938469801635
Episode 7900, Evaluation Reward 3444.4696437124157
Episode 8000, Evaluation Reward 3430.616947943282
Episode 8100, Evaluation Reward 3447.9562304667343
Episode 8200, Evaluation Reward 3402.047507848592
Episode 8300, Evaluation Reward 3418.7934616510056
Episode 8400, Evaluation Reward 3314.1987219501448
Episode 8500, Evaluation Reward 3360.7732060403578
Episode 8600, Evaluation Reward 3469.0905129917783
Episode 8700, Evaluation Reward 3475.1358092028086
Episode 8800, Evaluation Reward 3564.457012042357
Episode 8900, Evaluation Reward 3565.1464875277197
Episode 9000, Evaluation Reward 3552.171475000596
Episode 9100, Evaluation Reward 3646.935932433891
Episode 9200, Evaluation Reward 3459.739427427624
Episode 9300, Evaluation Reward 3464.242706136357
Episode 9400, Evaluation Reward 3215.8163871488005
Episode 9500, Evaluation Reward 3603.6828288072684
Episode 9600, Evaluation Reward 3586.9674228636077
Episode 9700, Evaluation Reward 3581.3102819470296
Episode 9800, Evaluation Reward 3484.98288191257
Episode 9900, Evaluation Reward 3516.0098785532596
Episode 10000, Evaluation Reward 3450.6032132363407
Episode 10100, Evaluation Reward 3519.6261517497614
Episode 10200, Evaluation Reward 3373.4606066416445
